ngrams,freq,prop
day got ,34,1.52E-05
sad see ,34,1.52E-05
day tri ,34,1.52E-05
ok just ,34,1.52E-05
may day ,34,1.52E-05
life get ,34,1.52E-05
man u ,33,1.48E-05
lol hey ,33,1.48E-05
bout go ,33,1.48E-05
rt one ,33,1.48E-05
way see ,33,1.48E-05
lol got ,33,1.48E-05
new day ,33,1.48E-05
go gym ,33,1.48E-05
x x ,33,1.48E-05
omg omg ,33,1.48E-05
go big ,33,1.48E-05
soon get ,33,1.48E-05
get hit ,33,1.48E-05
get meet ,33,1.48E-05
just way ,33,1.48E-05
send messag ,33,1.48E-05
now day ,33,1.48E-05
u rt ,33,1.48E-05
see just ,33,1.48E-05
just ad ,33,1.48E-05
day even ,32,1.43E-05
one got ,32,1.43E-05
got u ,32,1.43E-05
rock n ,32,1.43E-05
im get ,32,1.43E-05
pm est ,32,1.43E-05
year get ,32,1.43E-05
week now ,32,1.43E-05
guy go ,32,1.43E-05
come one ,32,1.43E-05
also get ,32,1.43E-05
big ten ,32,1.43E-05
just won ,32,1.43E-05
way end ,32,1.43E-05
year come ,32,1.43E-05
come say ,32,1.43E-05
go come ,32,1.43E-05
go let ,32,1.43E-05
soon just ,32,1.43E-05
kid get ,32,1.43E-05
got two ,32,1.43E-05
us go ,31,1.39E-05
get can ,31,1.39E-05
u kno ,31,1.39E-05
day d ,31,1.39E-05
rt new ,31,1.39E-05
go know ,31,1.39E-05
say u ,31,1.39E-05
ten minut ,31,1.39E-05
lol jk ,31,1.39E-05
de la ,31,1.39E-05
god can ,31,1.39E-05
one us ,31,1.39E-05
can dm ,31,1.39E-05
hit us ,31,1.39E-05
us rt ,31,1.39E-05
lol ok ,31,1.39E-05
per day ,31,1.39E-05
meet new ,31,1.39E-05
鈥c 鈥c ,31,1.39E-05
�?just ,31,1.39E-05
come new ,31,1.39E-05
know anyth ,31,1.39E-05
day two ,31,1.39E-05
god know ,30,1.34E-05
send link ,30,1.34E-05
hit u ,30,1.34E-05
go rt ,30,1.34E-05
rt got ,30,1.34E-05
yo ass ,30,1.34E-05
know guy ,30,1.34E-05
us call ,30,1.34E-05
let u ,30,1.34E-05
may get ,30,1.34E-05
omg just ,30,1.34E-05
fox news ,30,1.34E-05
kid go ,30,1.34E-05
s new ,30,1.34E-05
know come ,30,1.34E-05
lol lol ,30,1.34E-05
come day ,30,1.34E-05
now use ,30,1.34E-05
way say ,30,1.34E-05
hey can ,30,1.34E-05
even tho ,30,1.34E-05
oh just ,30,1.34E-05
use new ,29,1.30E-05
ten year ,29,1.30E-05
way know ,29,1.30E-05
natur gas ,29,1.30E-05
way use ,29,1.30E-05
go day ,29,1.30E-05
just two ,29,1.30E-05
hey man ,29,1.30E-05
buy one ,29,1.30E-05
go say ,29,1.30E-05
just come ,29,1.30E-05
just enjoy ,29,1.30E-05
sinc got ,29,1.30E-05
one even ,29,1.30E-05
may go ,29,1.30E-05
sad day ,29,1.30E-05
just minut ,29,1.30E-05
done now ,29,1.30E-05
rt now ,29,1.30E-05
oh oh ,29,1.30E-05
now new ,28,1.25E-05
yet just ,28,1.25E-05
bad one ,28,1.25E-05
call u ,28,1.25E-05
day see ,28,1.25E-05
ad new ,28,1.25E-05
may st ,28,1.25E-05
get life ,28,1.25E-05
come go ,28,1.25E-05
just week ,28,1.25E-05
meet u ,28,1.25E-05
rt hate ,28,1.25E-05
go die ,28,1.25E-05
luv u ,28,1.25E-05
hear ya ,28,1.25E-05
go kill ,28,1.25E-05
en rout ,28,1.25E-05
rt q ,28,1.25E-05
fun get ,28,1.25E-05
rt let ,28,1.25E-05
just bit ,28,1.25E-05
know use ,28,1.25E-05
ask us ,28,1.25E-05
per year ,28,1.25E-05
lol one ,27,1.21E-05
come year ,27,1.21E-05
bout get ,27,1.21E-05
fun day ,27,1.21E-05
can tri ,27,1.21E-05
also known ,27,1.21E-05
us one ,27,1.21E-05
one new ,27,1.21E-05
wit u ,27,1.21E-05
life now ,27,1.21E-05
just bad ,27,1.21E-05
get touch ,27,1.21E-05
even just ,27,1.21E-05
rt yes ,27,1.21E-05
abl see ,27,1.21E-05
year day ,27,1.21E-05
way u ,27,1.21E-05
ur life ,27,1.21E-05
just ran ,27,1.21E-05
say know ,27,1.21E-05
get day ,27,1.21E-05
cool just ,27,1.21E-05
mayb even ,27,1.21E-05
can save ,27,1.21E-05
bye bye ,27,1.21E-05
two men ,27,1.21E-05
go new ,27,1.21E-05
say lol ,27,1.21E-05
get anyth ,27,1.21E-05
get ass ,26,1.16E-05
day hey ,26,1.16E-05
high five ,26,1.16E-05
oh yea ,26,1.16E-05
pm come ,26,1.16E-05
call one ,26,1.16E-05
p rt ,26,1.16E-05
now even ,26,1.16E-05
haha go ,26,1.16E-05
day haha ,26,1.16E-05
rt come ,26,1.16E-05
way life ,26,1.16E-05
�?one ,26,1.16E-05
new rule ,26,1.16E-05
new car ,26,1.16E-05
new life ,26,1.16E-05
hash tag ,26,1.16E-05
may even ,26,1.16E-05
fun fun ,26,1.16E-05
now let ,26,1.16E-05
els can ,26,1.16E-05
call just ,26,1.16E-05
say lot ,26,1.16E-05
car wash ,26,1.16E-05
tri see ,26,1.16E-05
can anyth ,26,1.16E-05
may may ,26,1.16E-05
hey u ,26,1.16E-05
day may ,26,1.16E-05
got hit ,26,1.16E-05
say now ,25,1.12E-05
go use ,25,1.12E-05
mi run ,25,1.12E-05
put us ,25,1.12E-05
senior year ,25,1.12E-05
new site ,25,1.12E-05
day far ,25,1.12E-05
u tri ,25,1.12E-05
also tri ,25,1.12E-05
feb th ,25,1.12E-05
just chill ,25,1.12E-05
just die ,25,1.12E-05
big news ,25,1.12E-05
win one ,25,1.12E-05
even tri ,25,1.12E-05
know rt ,25,1.12E-05
day oh ,25,1.12E-05
day im ,25,1.12E-05
tri say ,25,1.12E-05
fun see ,25,1.12E-05
get vote ,25,1.12E-05
even one ,25,1.12E-05
u now ,25,1.12E-05
new ipad ,25,1.12E-05
come enjoy ,25,1.12E-05
us see ,25,1.12E-05
bed now ,25,1.12E-05
go put ,25,1.12E-05
one top ,25,1.12E-05
big win ,24,1.07E-05
big ass ,24,1.07E-05
guy rock ,24,1.07E-05
just end ,24,1.07E-05
yes ma ,24,1.07E-05
go can ,24,1.07E-05
now i鈥檓 ,24,1.07E-05
guy come ,24,1.07E-05
just can ,24,1.07E-05
lot new ,24,1.07E-05
week day ,24,1.07E-05
fan page ,24,1.07E-05
come tri ,24,1.07E-05
get even ,24,1.07E-05
job just ,24,1.07E-05
get outta ,24,1.07E-05
day til ,24,1.07E-05
man one ,24,1.07E-05
