"ngrams" "freq" "prop"
"10360" "know lie even go " 1 4.47276999987924e-07
"10418" "lol rt lol def " 1 4.47276999987924e-07
"10448" "st avenu st nd " 1 4.47276999987924e-07
"10577" "one saw jim hit " 1 4.47276999987924e-07
"10894" "old boy anyth minut " 1 4.47276999987924e-07
"10925" "man can get sex " 1 4.47276999987924e-07
"11355" "pant hit gym ma " 1 4.47276999987924e-07
"11522" "hit hm hey guy " 1 4.47276999987924e-07
"11563" "bar m pm may " 1 4.47276999987924e-07
"11679" "see one let know " 1 4.47276999987924e-07
"12166" "lol hey can guy " 1 4.47276999987924e-07
"12230" "jk go gym im " 1 4.47276999987924e-07
"12775" "call fox yay get " 1 4.47276999987924e-07
"13023" "u u dnt hear " 1 4.47276999987924e-07
"13323" "b day let know " 1 4.47276999987924e-07
"13505" "alumni hop feb th " 1 4.47276999987924e-07
"13731" "also bad bet got " 1 4.47276999987924e-07
"13757" "run mill sd hr " 1 4.47276999987924e-07
"13769" "get mos def wow " 1 4.47276999987924e-07
"13859" "bck hey tri get " 1 4.47276999987924e-07
"13862" "man fbi say lie " 1 4.47276999987924e-07
"13957" "know way just bowl " 1 4.47276999987924e-07
"13974" "just don鈥檛 care i鈥檓 " 1 4.47276999987924e-07
"14103" "us just got rob " 1 4.47276999987924e-07
"14581" "mark oct ny jet " 1 4.47276999987924e-07
"14684" "just tri get job " 1 4.47276999987924e-07
"14718" "logo us way can " 1 4.47276999987924e-07
"15004" "guy pal just got " 1 4.47276999987924e-07
"15046" "get way use just " 1 4.47276999987924e-07
"15175" "life end day it鈥檚 " 1 4.47276999987924e-07
"15179" "job guy just got " 1 4.47276999987924e-07
"15231" "r m b o " 1 4.47276999987924e-07
"15238" "app put higher set " 1 4.47276999987924e-07
"15363" "yes even fall get " 1 4.47276999987924e-07
"15387" "get hype get hype " 1 4.47276999987924e-07
"15425" "san diego can tri " 1 4.47276999987924e-07
"15575" "eaten yet e ask " 1 4.47276999987924e-07
"15732" "two year old can " 1 4.47276999987924e-07
"15927" "i鈥檓 new don鈥檛 even " 1 4.47276999987924e-07
"15941" "just wh haha even " 1 4.47276999987924e-07
