name,freq
graduat,436
pop,436
toward,436
per,435
washington,435
cheer,434
chees,434
industri,434
career,433
leagu,432
burn,430
attent,429
brand,429
breakfast,429
nyc,429
yay,429
garden,428
hill,428
michael,428
quot,428
anim,427
explain,426
honor,426
warm,425
floor,424
justin,424
brought,423
data,423
fix,423
marri,423
resid,422
apart,421
plus,421
cloth,420
invit,419
shirt,419
draft,417
earlier,417
east,416
slow,416
version,416
model,415
secret,415
imag,414
simpl,414
cream,413
hotel,413
iphon,413
role,412
gay,411
handl,411
window,411
senior,410
shoe,410
forgot,408
lucki,408
basebal,407
shut,407
situat,407
station,407
appar,406
enter,406
husband,406
writer,406
commerci,405
doctor,405
leg,405
tree,405
addit,404
deep,404
screen,404
claim,403
draw,402
lord,402
paul,402
bus,401
credit,401
honest,401
refer,401
bottl,400
sort,400
drug,399
hall,399
option,399
earth,398
texa,398
thx,398
oil,397
pizza,397
festiv,396
fish,396
obvious,396
ohio,396
poor,396
fat,395
staff,395
common,394
creativ,394
critic,393
jersey,393
pray,393
perhap,392
access,390
simpli,390
amount,389
exampl,389
file,389
mike,389
tie,389
associ,388
fri,388
oper,388
spread,388
client,385
purchas,385
promot,383
yard,383
meant,382
match,381
arm,380
random,380
stick,380
ahead,379
elect,379
sat,379
winter,379
correct,378
jame,378
degre,377
address,376
california,376
egg,376
cultur,375
somebodi,374
basic,373
qualiti,373
romney,373
republican,372
etc,370
launch,370
min,370
paid,370
print,370
hire,369
plant,369
publish,369
born,368
daili,368
investig,368
biggest,367
regular,367
worker,367
flight,366
letter,366
playoff,366
camp,365
describ,365
impress,365
period,365
truli,365
william,365
doubt,364
florida,364
i’v,364
trend,364
sexi,363
vega,363
rip,362
rose,362
technolog,362
employe,361
excel,361
portland,361
seattl,361
wast,361
joe,360
size,360
annoy,359
digit,359
execut,359
kinda,359
breath,358
commit,358
crowd,358
smell,358
boston,357
faith,357
medic,357
mess,357
polici,357
self,357
appl,356
congratul,356
dollar,356
attempt,355
copi,355
nobodi,355
ignor,354
smh,354
budget,353
cleveland,353
tea,353
becam,352
difficult,352
realiti,352
didn’t,351
giant,351
normal,351
privat,351
fell,349
river,349
fantast,348
ran,348
tough,348
chat,347
code,347
content,347
gym,347
basketbal,346
delici,346
particular,346
emot,345
express,344
guest,344
owner,344
select,344
union,344
boyfriend,343
traffic,343
wrote,343
assist,342
museum,342
yearold,342
bike,341
lil,341
wors,341
earn,340
lake,340
magic,340
lack,339
propos,339
smart,339
troubl,339
billion,338
higher,338
repli,338
sold,338
holi,337
kiss,337
ring,337
similar,337
soul,337
edit,336
grade,336
beyond,335
blood,335
econom,335
finger,335
freak,335
nfl,335
web,335
bear,334
advic,333
annual,333
blow,333
item,333
particip,333
respond,333
rise,333
unless,333
brain,332
contest,332
driver,332
marriag,331
mouth,331
weight,331
began,330
individu,330
miami,330
mobil,330
offens,330
statement,330
admit,329
rich,329
truck,329
averag,328
everyday,328
replac,328
repres,328
corner,327
ipad,327
master,327
opinion,327
stress,327
competit,326
georg,326
pitch,326
held,325
bird,323
entertain,323
remov,323
request,323
sourc,323
stock,323
tom,323
whose,323
confus,322
contract,322
easter,322
engag,322
classic,321
democrat,321
english,321
invest,321
risk,321
donat,320
adult,319
that’s,319
immedi,318
broke,317
consum,317
recip,317
agenc,316
extrem,316
written,316
awkward,315
downtown,315
fashion,315
legal,315
pair,315
stuck,315
battl,314
compar,314
tear,314
cast,313
despit,313
gain,313
appli,312
financi,312
seek,312
cooki,311
yep,311
comfort,310
lay,310
shower,310
suit,310
camera,309
struggl,309
bake,308
feed,308
avoid,307
chill,307
combin,307
discov,307
potenti,307
standard,307
council,306
depend,306
orang,306
popular,306
profession,306
generat,305
wood,305
caught,304
gas,304
healthi,304
led,304
liter,304
scare,304
wild,304
can’t,303
central,303
greatest,303
joy,303
mistak,303
patient,303
region,303
bottom,302
incred,302
kept,302
youtub,302
societi,301
user,301
wtf,301
crew,300
determin,299
languag,299
loud,299
meal,299
partner,299
quiet,299
ship,299
audienc,298
hug,297
hungri,297
grand,296
prefer,296
steve,296
sugar,296
island,295
mayor,295
nap,295
ryan,295
upon,295
approach,294
inde,294
previous,294
adam,293
disappoint,293
economi,293
injuri,293
smith,293
terribl,293
tool,293
aliv,292
femal,292
target,292
twice,292
emerg,291
skill,291
volunt,291
loui,290
relax,290
gold,289
shake,289
wind,289
yall,289
blast,288
motiv,288
jack,287
diego,286
laker,286
latest,286
quarter,286
senat,285
seven,285
tradit,284
buddi,283
construct,283
dri,283
physic,283
squar,283
arrest,282
awar,282
hilari,282
bay,281
brewer,281
grab,281
properti,281
reader,281
achiev,280
approv,280
passion,280
robert,280
root,280
skin,280
tech,280
somewher,278
abil,277
bunch,277
flower,277
kitchen,277
sky,277
cancer,276
drunk,276
lower,276
neighbor,276
chief,275
gorgeous,275
knock,275
spirit,275
woke,275
baltimor,274
insur,274
jealous,274
progress,274
scienc,274
ten,274
victori,274
equal,273
grant,273
gun,273
storm,273
wash,273
workout,273
airport,272
denver,272
wide,272
wrap,272
bday,271
boss,271
craft,270
encourag,270
lock,270
older,270
specif,270
broken,269
channel,269
french,269
measur,269
shape,269
administr,268
advanc,268
candid,268
crap,268
easier,268
nba,268
prove,268
justic,267
lesson,267
speed,267
theme,267
bright,266
cap,266
independ,266
repeat,266
til,266
novel,265
oregon,265
thousand,265
balanc,264
odd,264
pound,264
christian,263
condit,263
firm,262
houston,262
onto,262
vacat,262
bigger,261
communic,261
crack,260
initi,260
matt,260
retir,260
shall,260
sir,260
suffer,260
click,259
panel,259
throughout,259
alright,258
demand,258
scott,258
applic,257
attorney,257
btw,257
foot,257
milwauke,257
pant,257
surviv,257
favor,256
none,256
pleasur,256
sauc,256
scream,256
swear,256
you’r,256
blame,255
crime,255
danger,255
excus,255
purpos,255
athlet,254
campus,254
expens,254
jazz,254
prayer,254
solut,254
exercis,253
knowledg,253
mari,253
profil,253
rush,253
built,252
cash,252
coast,252
guard,252
machin,252
materi,252
mood,252
movement,252
dig,251
speech,251
ton,251
debat,250
decad,250
dick,250
institut,250
januari,250
pool,250
agent,249
committe,249
row,249
wing,249
addict,248
anybodi,248
asleep,248
flavor,248
london,248
mountain,248
rare,248
unfortun,248
doesn’t,247
dumb,247
famous,247
freedom,247
fruit,247
los,247
magazin,247
affect,246
afraid,246
harri,246
jim,246
johnson,246
load,246
thru,246
actor,245
grill,245
mail,245
chase,244
fake,244
jam,244
section,244
subject,244
thoma,244
corpor,243
detroit,243
expert,243
golf,243
hop,243
idk,243
sea,243
eventu,242
growth,242
hook,242
switch,242
topic,242
defend,241
employ,241
impact,241
reduc,241
confid,240
deliv,240
neighborhood,240
rang,240
consist,239
hole,239
youth,239
engin,238
hors,238
modern,238
prevent,238
salad,238
capit,237
goin,237
overal,237
peter,236
plenti,236
status,236
tag,236
boo,235
bridg,235
bull,235
china,235
crash,235
download,235
moon,235
prize,235
didnt,234
goodnight,234
heaven,234
plate,234
sponsor,233
warn,233
attract,232
bread,232
murder,232
strategi,232
inch,231
jone,231
slight,231
rep,230
ridicul,230
sentenc,230
